rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_of_Niagara_Falls__Ontario_Canada_and_New_York_USA_border_horiz.jpg,Aerial_view_of_Niagara_Falls__Ontario_Canada_and_New_York_USA_border_horiz.jpg,afternoon,,New York,,USA,new york,city,40.7128,-74.006,NA,gazetteer,high
afternoon\Aerial_view_of_Palace_da_Pena__Sintra__Lisboa__Portugal_vert.jpg,Aerial_view_of_Palace_da_Pena__Sintra__Lisboa__Portugal_vert.jpg,afternoon,,,,Portugal,portugal,country,39.3999,-8.2245,EU,gazetteer,med
afternoon\Aerial_view_of_Palau_s_70_islands_vert.jpg,Aerial_view_of_Palau_s_70_islands_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Parana_River_on_the_border_of_Paraguay_and_Brazil_vert.jpg,Aerial_view_of_Parana_River_on_the_border_of_Paraguay_and_Brazil_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Porto_de_Galinhas_beach__Ipojuca__Pernambuco_state__Brazil_horiz.jpg,Aerial_view_of_Porto_de_Galinhas_beach__Ipojuca__Pernambuco_state__Brazil_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Rainbow__Wai_nuenue__Falls_in_Hilo__Big_Island__Hawaii__USA_horiz.jpg,Aerial_view_of_Rainbow__Wai_nuenue__Falls_in_Hilo__Big_Island__Hawaii__USA_horiz.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_view_of_river_by_dramatic_landscape__The_Pilbara__Western_Australia_horiz.jpg,Aerial_view_of_river_by_dramatic_landscape__The_Pilbara__Western_Australia_horiz.jpg,afternoon,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
afternoon\Aerial_view_of_river__Bissagos_Archipelago__Bijagos___Guinea_Bissau__UNESCO_Biosphere_Reserve_vert.jpg,Aerial_view_of_river__Bissagos_Archipelago__Bijagos___Guinea_Bissau__UNESCO_Biosphere_Reserve_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_sandy_beach_on_the_Sumilon_island_near_Oslob__Cebu__Philippines_vert.jpg,Aerial_view_of_sandy_beach_on_the_Sumilon_island_near_Oslob__Cebu__Philippines_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Seealpsee_lake__Alpstein__Appenzell__Switzerland_horiz.jpg,Aerial_view_of_Seealpsee_lake__Alpstein__Appenzell__Switzerland_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Seychelles_Islands__Africa_horiz.jpg,Aerial_view_of_Seychelles_Islands__Africa_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_sports_complex_of_Foro_Italico_featuring_famous_Obelisk_of_Mussolini__Rome__Italy_horiz.jpg,Aerial_view_of_sports_complex_of_Foro_Italico_featuring_famous_Obelisk_of_Mussolini__Rome__Italy_horiz.jpg,afternoon,,Rome,,Italy,rome,city,41.9028,12.4964,EU,gazetteer,high
afternoon\Aerial_view_of_Storseisundet_Bridge__Atlantic_Road__Aver_y__M_re_og_Romsdal__Norway_horiz.jpg,Aerial_view_of_Storseisundet_Bridge__Atlantic_Road__Aver_y__M_re_og_Romsdal__Norway_horiz.jpg,afternoon,,,,Norway,norway,country,60.472,8.4689,EU,gazetteer,med
afternoon\Aerial_view_of_surfer_catching_big_wave__Tenerife__Canary_Islands__Spain_vert.jpg,Aerial_view_of_surfer_catching_big_wave__Tenerife__Canary_Islands__Spain_vert.jpg,afternoon,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
afternoon\Aerial_view_of_Taimu_mountain_in_Ningde_city__Hujian_province__China_vert.jpg,Aerial_view_of_Taimu_mountain_in_Ningde_city__Hujian_province__China_vert.jpg,afternoon,,,,,,,,,,,
